period,DAY,DAY,DAY,DAY,DAY,DAY,WEEK,WEEK,WEEK,WEEK,WEEK,WEEK
freq,60s,60s,60s,650s,650s,650s,60s,60s,60s,650s,650s,650s
n_clusters,10 clusters,11 clusters,12 clusters,10 clusters,11 clusters,12 clusters,10 clusters,11 clusters,12 clusters,10 clusters,11 clusters,12 clusters
ActivMetric1__WEEK,5,2,4,2,7,2,2,1,3,9,2,1
jmxmetric__NONE,1,6,11,6,1,3,2,1,3,9,1,5
monitoringMetric$106541__NONE,8,6,1,6,6,3,2,1,3,9,1,5
monitoringMetric$116101__WEEK,,,,,,,2,1,3,9,2,10
monitoringMetric$116104__WEEK,,,,,,,2,5,3,1,9,1
monitoringMetric$116105__WEEK,7,8,6,4,4,5,2,1,3,9,2,10
monitoringMetric$116111__MONTH,7,8,6,2,4,4,2,1,3,9,2,10
monitoringMetric$116113__MONTH,2,7,4,9,8,4,2,1,3,9,2,5
monitoringMetric$116116__MONTH,8,6,1,1,6,3,2,1,3,9,1,5
monitoringMetric$116123__MONTH,8,6,1,6,10,11,2,1,3,9,1,5
monitoringMetric$116124__MONTH,8,6,1,6,10,3,2,1,3,9,1,5
monitoringMetric$116125__MONTH,8,6,11,6,10,3,2,1,3,9,1,5
monitoringMetric$116126__MONTH,3,3,10,3,3,1,2,1,3,9,2,10
monitoringMetric$116127__MONTH,3,3,3,3,3,1,2,1,3,9,2,10
monitoringMetric$116130__MONTH,7,8,6,4,4,5,2,1,3,9,2,1
monitoringMetric$116131__MONTH,,,,,,,2,1,3,9,2,10
monitoringMetric$116135__MONTH,3,10,10,3,3,1,2,1,3,9,1,5
monitoringMetric$116137__MONTH,,,,,,,2,1,3,9,1,5
monitoringMetric$116139__MONTH,,,,,,,2,1,3,9,2,10
monitoringMetric$116141__MONTH,9,10,8,3,9,10,2,1,3,9,1,5
monitoringMetric$116152__MONTH,8,1,1,1,6,3,2,1,3,9,2,5
monitoringMetric$116154__MONTH,1,1,11,1,1,11,2,1,3,9,2,5
monitoringMetric$116155__MONTH,1,1,11,1,1,11,2,1,3,9,2,5
monitoringMetric$116156__MONTH,0,0,0,0,0,0,2,5,3,9,2,1
monitoringMetric$116157__MONTH,4,5,5,8,5,8,1,4,1,9,2,1
monitoringMetric$116158__MONTH,3,3,3,3,3,1,2,1,3,9,1,5
monitoringMetric$116159__MONTH,0,0,0,0,0,0,1,4,1,9,2,10
monitoringMetric$116160__MONTH,6,0,0,8,5,9,1,4,1,9,2,10
monitoringMetric$116161__MONTH,6,9,9,9,2,4,2,1,3,9,2,10
monitoringMetric$116162__MONTH,,,,,,,2,1,3,9,2,5
